Area,Bedrooms,Bathrooms,Stories,Parking,Age,Price
1500,3,2,2,1,5,45000
1800,4,2,2,2,3,55000
2400,4,3,3,2,1,75000
1200,2,1,1,1,10,32000
3000,5,3,3,3,2,95000
1600,3,2,2,1,8,42000
2100,3,2,2,2,4,62000
2800,4,3,3,2,6,82000
1350,2,1,1,1,12,30000
1900,3,2,2,2,7,52000
2200,4,2,2,2,3,65000
2600,4,3,3,2,5,78000
1100,2,1,1,0,15,28000
3200,5,4,3,3,1,105000
1700,3,2,2,1,6,48000
2000,3,2,2,2,9,56000
2500,4,3,3,2,4,72000
1400,2,2,1,1,11,35000
3500,5,4,4,3,2,115000
1550,3,2,2,1,7,43000
2300,4,3,2,2,5,68000
2700,4,3,3,2,3,80000
1250,2,1,1,1,13,31000
2900,5,3,3,3,4,90000
1650,3,2,2,1,9,46000
1950,3,2,2,2,6,54000
2150,4,2,2,2,8,60000
3100,5,4,3,3,3,100000
1450,3,2,1,1,10,38000
2050,3,2,2,2,5,58000
1300,2,1,1,1,14,29000
3300,5,4,4,3,1,110000
1750,3,2,2,2,4,50000
2250,4,3,2,2,6,66000
2650,4,3,3,2,7,76000
1150,2,1,1,0,16,27000
3400,5,4,4,3,2,112000
1850,3,2,2,1,5,51000
2350,4,3,3,2,3,70000
2550,4,3,3,2,4,74000
1050,1,1,1,0,18,25000
3600,6,4,4,3,1,120000
1680,3,2,2,1,8,47000
2080,3,2,2,2,7,59000
2450,4,3,3,2,5,71000
2750,4,3,3,3,3,83000
1380,2,2,1,1,11,36000
3050,5,3,3,3,4,92000
1580,3,2,2,1,9,44000
1920,3,2,2,2,6,53000
