GPA,GRE_Score,Research_Papers,Extracurriculars,Hours_Studied,Admitted
3.9,330,4,3,45,1
3.5,310,2,2,35,1
2.8,280,0,1,20,0
3.7,325,3,4,40,1
2.5,260,0,0,15,0
3.2,300,1,2,30,1
2.9,275,0,1,18,0
3.8,335,5,3,42,1
2.6,265,0,0,12,0
3.4,315,2,3,38,1
2.7,270,0,1,16,0
3.6,320,3,2,36,1
3.1,295,1,1,25,0
3.3,305,2,2,32,1
2.4,255,0,0,10,0
3.9,340,6,4,48,1
2.8,278,0,1,19,0
3.5,312,2,3,34,1
2.6,262,0,0,14,0
3.7,328,4,3,41,1
3.0,290,1,1,22,0
3.4,308,2,2,33,1
2.5,258,0,0,11,0
3.8,332,5,4,44,1
2.9,282,0,1,20,0
3.6,318,3,2,37,1
2.7,268,0,0,15,0
3.3,302,1,2,28,0
3.5,316,3,3,36,1
2.4,252,0,0,9,0
3.9,338,5,4,46,1
3.1,292,1,1,24,0
3.2,298,1,2,27,1
2.8,276,0,1,17,0
3.7,322,4,3,39,1
2.6,264,0,0,13,0
3.4,310,2,3,35,1
3.0,288,1,1,21,0
3.8,330,4,4,43,1
2.5,256,0,0,10,0
3.6,324,3,2,38,1
2.9,280,0,1,19,0
3.3,304,2,2,31,1
3.1,296,1,2,26,1
2.7,272,0,0,16,0
3.5,314,2,3,34,1
2.4,250,0,0,8,0
3.9,336,5,4,47,1
3.0,285,1,1,22,0
3.7,326,4,3,40,1
3.9,330,4,3,45,1
3.5,310,2,2,35,1
2.8,280,0,1,20,0
3.7,325,3,4,40,1
3.4,,2,3,35,1
,290,1,1,22,0
3.6,318,,2,37,1
2.7,268,0,,15,0
3.3,302,1,2,,0
3.8,332,5,4,44,
3.2,298,1,2,27,1
3.2,298,1,2,27,1
