CustomerID,Annual_Income,Spending_Score
1,15,39
2,16,81
3,17,6
4,18,77
5,19,40
6,20,76
7,21,6
8,23,94
9,24,3
10,25,72
11,26,14
12,28,99
13,29,15
14,30,77
15,33,13
16,35,79
17,37,35
18,38,92
19,39,36
20,40,61
21,42,28
22,44,55
23,46,29
24,47,56
25,48,55
26,50,47
27,52,42
28,53,52
29,54,60
30,55,45
31,56,41
32,58,49
33,59,56
34,60,55
35,61,40
36,63,50
37,64,46
38,65,55
39,67,52
40,68,47
41,69,55
42,70,42
43,72,60
44,73,48
45,74,50
46,75,43
47,76,52
48,77,54
49,78,42
50,80,64
51,81,22
52,83,78
53,85,29
54,86,70
55,87,25
56,88,74
57,90,18
58,91,83
59,92,13
60,93,72
61,94,10
62,95,86
63,97,5
64,98,88
65,99,14
66,100,95
67,101,11
68,102,75
69,103,9
70,104,83
